window_a,cluster_a,window_b,cluster_b
2010-2019,547,2011-2020,539
2010-2019,705,2011-2020,670
2010-2019,920,2011-2020,896
2010-2019,1176,2011-2020,1196
2010-2019,1176,2011-2020,1232
2010-2019,1218,2011-2020,1058
2010-2019,1246,2011-2020,1058
2010-2019,1258,2011-2020,1135
2010-2019,1289,2011-2020,1263
2010-2019,1350,2011-2020,1058
2010-2019,1385,2011-2020,1196
2010-2019,1385,2011-2020,1232
2010-2019,1385,2011-2020,1325
2010-2019,1386,2011-2020,1306
2010-2019,1529,2011-2020,1058
2010-2019,1568,2011-2020,1392
2010-2019,1568,2011-2020,1519
