window_a,cluster_a,window_b,cluster_b
2006-2015,96,2007-2016,88
2006-2015,209,2007-2016,301
2006-2015,209,2007-2016,343
2006-2015,222,2007-2016,279
2006-2015,455,2007-2016,343
2006-2015,642,2007-2016,548
2006-2015,642,2007-2016,717
2006-2015,726,2007-2016,717
2006-2015,749,2007-2016,717
2006-2015,810,2007-2016,717
2006-2015,810,2007-2016,837
2006-2015,1009,2007-2016,1142
2006-2015,1170,2007-2016,1142
2006-2015,1209,2007-2016,1251
2006-2015,1395,2007-2016,1178
2006-2015,1395,2007-2016,1383
2006-2015,1477,2007-2016,1438
2006-2015,1477,2007-2016,1515
2006-2015,1583,2007-2016,1550
2006-2015,1594,2007-2016,1383
2006-2015,1629,2007-2016,1623
2006-2015,1669,2007-2016,1643
2006-2015,1696,2007-2016,1515
2006-2015,1758,2007-2016,1683
2006-2015,1866,2007-2016,1683
2007-2016,301,2008-2017,216
2007-2016,301,2008-2017,438
2007-2016,343,2008-2017,216
2007-2016,343,2008-2017,438
2007-2016,343,2008-2017,494
2007-2016,548,2008-2017,540
2007-2016,548,2008-2017,612
2007-2016,717,2008-2017,684
2007-2016,1049,2008-2017,996
2007-2016,1049,2008-2017,1039
2007-2016,1142,2008-2017,1182
2007-2016,1178,2008-2017,1178
2007-2016,1331,2008-2017,1327
2007-2016,1383,2008-2017,1483
2007-2016,1438,2008-2017,1530
2007-2016,1515,2008-2017,1526
2007-2016,1515,2008-2017,1567
2007-2016,1550,2008-2017,1526
2007-2016,1550,2008-2017,1652
2007-2016,1623,2008-2017,1420
2007-2016,1623,2008-2017,1486
2007-2016,1643,2008-2017,1579
2007-2016,1683,2008-2017,1530
2008-2017,216,2009-2018,358
2008-2017,438,2009-2018,358
2008-2017,494,2009-2018,358
2008-2017,540,2009-2018,586
2008-2017,612,2009-2018,586
2008-2017,684,2009-2018,738
2008-2017,996,2009-2018,949
2008-2017,1039,2009-2018,949
2008-2017,1100,2009-2018,1104
2008-2017,1178,2009-2018,1231
2008-2017,1315,2009-2018,1304
2008-2017,1327,2009-2018,1374
2008-2017,1327,2009-2018,1482
2008-2017,1483,2009-2018,1381
2008-2017,1486,2009-2018,1510
2008-2017,1526,2009-2018,1713
2008-2017,1530,2009-2018,1420
2008-2017,1567,2009-2018,1713
2008-2017,1625,2009-2018,1381
2008-2017,1652,2009-2018,1482
2008-2017,1652,2009-2018,1713
2008-2017,1659,2009-2018,1523
2008-2017,1659,2009-2018,1680
2009-2018,358,2010-2019,332
2009-2018,358,2010-2019,484
2009-2018,586,2010-2019,567
2009-2018,738,2010-2019,567
2009-2018,767,2010-2019,716
2009-2018,949,2010-2019,887
2009-2018,1067,2010-2019,998
2009-2018,1104,2010-2019,1004
2009-2018,1231,2010-2019,887
2009-2018,1304,2010-2019,1085
2009-2018,1374,2010-2019,1263
2009-2018,1381,2010-2019,1241
2009-2018,1420,2010-2019,1445
2009-2018,1482,2010-2019,1263
2009-2018,1482,2010-2019,1366
2009-2018,1482,2010-2019,1571
2009-2018,1510,2010-2019,1085
2009-2018,1523,2010-2019,1320
2009-2018,1523,2010-2019,1499
2009-2018,1680,2010-2019,1499
2009-2018,1713,2010-2019,1496
2009-2018,1713,2010-2019,1735
2010-2019,332,2011-2020,333
2010-2019,567,2011-2020,612
2010-2019,567,2011-2020,735
2010-2019,716,2011-2020,771
2010-2019,741,2011-2020,849
2010-2019,887,2011-2020,1012
2010-2019,887,2011-2020,1100
2010-2019,1004,2011-2020,1087
2010-2019,1085,2011-2020,1171
2010-2019,1085,2011-2020,1341
2010-2019,1148,2011-2020,1427
2010-2019,1241,2011-2020,1100
2010-2019,1263,2011-2020,1393
2010-2019,1320,2011-2020,1100
2010-2019,1366,2011-2020,1393
2010-2019,1445,2011-2020,1393
2010-2019,1445,2011-2020,1606
2010-2019,1445,2011-2020,1673
2010-2019,1496,2011-2020,1393
2010-2019,1496,2011-2020,1673
2010-2019,1499,2011-2020,1100
2010-2019,1571,2011-2020,1393
2010-2019,1735,2011-2020,1393
